country,continent,cluster,casesPerOneMillion,deathsPerOneMillion,testsPerOneMillion,mortality_rate,infection_rate
Afghanistan,Asia,0,5746,196,34125,3.41,0.57
Albania,Europe,0,116825,1258,677173,1.08,11.68
Algeria,Africa,0,5998,152,5093,2.53,0.6
Andorra,Europe,1,619844,2130,3225256,0.34,61.98
Angola,Africa,0,3064,55,42818,1.8,0.31
Anguilla,North America,1,256336,788,3373736,0.31,25.63
Antigua and Barbuda,North America,0,91509,1467,189943,1.6,9.15
Argentina,South America,1,220143,2844,776264,1.29,22.01
Armenia,Asia,0,152031,2953,1091164,1.94,15.2
Aruba,North America,1,410969,2714,1653068,0.66,41.1
Australia,Australia-Oceania,1,454687,937,3142326,0.21,45.47
Austria,Europe,2,670727,2486,23302116,0.37,67.07
Azerbaijan,Asia,0,81089,1010,752223,1.25,8.11
Bahamas,North America,0,95087,2107,643767,2.22,9.51
Bahrain,Asia,1,408944,882,6137138,0.22,40.89
Bangladesh,Asia,0,12207,176,90862,1.44,1.22
Barbados,North America,1,383921,2250,2826715,0.59,38.39
Belarus,Europe,0,105381,755,1446722,0.72,10.54
Belgium,Europe,1,416659,2946,3209915,0.71,41.67
Belize,North America,0,173243,1669,1397453,0.96,17.32
Benin,Africa,0,2193,13,47268,0.58,0.22
Bermuda,North America,2,304493,2664,16622128,0.87,30.45
Bhutan,Asia,0,79571,27,2923739,0.03,7.96
Bolivia,South America,0,101073,1868,225993,1.85,10.11
Bosnia,Europe,0,124215,5044,580036,4.06,12.42
Botswana,Africa,0,135443,1147,830300,0.85,13.54
Brazil,South America,0,179908,3303,296146,1.84,17.99
British Virgin Islands,North America,1,241600,2092,3508269,0.87,24.16
Brunei,Asia,1,771655,505,1611437,0.07,77.17
Bulgaria,Europe,1,195753,5661,1705147,2.89,19.58
Burkina Faso,Africa,0,1001,18,11265,1.81,0.1
Burundi,Africa,0,4334,3,27386,0.07,0.43
Cabo Verde,Africa,0,113580,735,707482,0.65,11.36
Cambodia,Asia,0,8102,178,180062,2.2,0.81
Cameroon,Africa,0,4492,71,62762,1.57,0.45
Canada,North America,0,128843,1538,1734189,1.19,12.88
Caribbean Netherlands,North America,1,438398,1426,1130559,0.33,43.84
Cayman Islands,North America,1,467797,550,3311280,0.12,46.78
Central African Republic,Africa,0,3078,23,16205,0.73,0.31
Chad,Africa,0,442,11,10988,2.52,0.04
Channel Islands,Europe,1,576421,1292,7099551,0.22,57.64
Chile,South America,1,279730,3350,2617225,1.2,27.97
China,Asia,0,347,4,110461,1.05,0.03
Colombia,South America,0,124244,2780,717327,2.24,12.42
Comoros,Africa,0,10038,177,0,1.77,1.0
Congo,Africa,0,4377,67,59991,1.52,0.44
Cook Islands,Australia-Oceania,1,409937,114,1120596,0.03,40.99
Costa Rica,North America,1,239058,1819,899158,0.76,23.91
Croatia,Europe,1,322650,4604,1394355,1.43,32.26
Cuba,North America,0,98645,754,1273936,0.76,9.86
Curaçao,North America,1,277812,1782,3000640,0.64,27.78
Cyprus,Asia,1,556741,1116,7879860,0.2,55.67
Czechia,Europe,1,443246,4053,5386552,0.91,44.32
Côte d'Ivoire,Africa,0,3186,30,60951,0.94,0.32
DRC,Africa,0,1043,15,8890,1.48,0.1
Denmark,Europe,2,545636,1511,22165247,0.28,54.56
Djibouti,Africa,0,15441,186,301094,1.2,1.54
Dominica,North America,0,221691,1023,3170187,0.46,22.17
Dominican Republic,North America,0,61131,397,338350,0.65,6.11
Ecuador,South America,0,59083,1990,170173,3.37,5.91
Egypt,Africa,0,4861,232,34792,4.77,0.49
El Salvador,North America,0,30816,646,398467,2.1,3.08
Equatorial Guinea,Africa,0,11512,122,244342,1.06,1.15
Eritrea,Africa,0,2782,28,6470,1.01,0.28
Estonia,Europe,1,475123,2270,5271239,0.48,47.51
Ethiopia,Africa,0,4148,63,46066,1.51,0.41
Falkland Islands (Malvinas),South America,1,545352,0,2439107,0.0,54.54
Faroe Islands,Europe,2,703959,569,15802409,0.08,70.4
Fiji,Australia-Oceania,0,75997,973,739866,1.28,7.6
Finland,Europe,1,272930,2153,2179850,0.79,27.29
France,Europe,1,612013,2556,4139547,0.42,61.2
French Guiana,South America,1,312065,1337,2072951,0.43,31.21
French Polynesia,Australia-Oceania,1,278902,2287,0,0.82,27.89
Gabon,Africa,0,21038,132,695641,0.63,2.1
Gambia,Africa,0,4935,145,60851,2.95,0.49
Georgia,Asia,1,469082,4317,4263340,0.92,46.91
Germany,Europe,1,462891,2182,1458359,0.47,46.29
Ghana,Africa,0,5306,45,78456,0.85,0.53
Gibraltar,Europe,2,609720,3353,15852213,0.55,60.97
Greece,Europe,1,591412,3671,9909078,0.62,59.14
Greenland,North America,0,210117,369,2894810,0.18,21.01
Grenada,North America,0,173545,2097,1612523,1.21,17.35
Guadeloupe,North America,1,508349,2554,2346306,0.5,50.83
Guatemala,North America,0,69484,1092,408622,1.57,6.95
Guinea,Africa,0,2782,34,47607,1.21,0.28
Guinea-Bissau,Africa,0,4659,86,70385,1.84,0.47
Guyana,South America,0,93366,1637,923396,1.75,9.34
Haiti,North America,0,2968,74,11337,2.48,0.3
Honduras,North America,0,46432,1092,162472,2.35,4.64
Hong Kong,Asia,1,386309,1963,10011143,0.51,38.63
Hungary,Europe,1,232164,5106,1186160,2.2,23.22
Iceland,Europe,1,607731,663,5780036,0.11,60.77
India,Asia,0,32016,379,665334,1.18,3.2
Indonesia,Asia,0,24466,581,408975,2.37,2.45
Iran,Asia,0,88665,1707,666338,1.92,8.87
Iraq,Asia,0,58474,602,463523,1.03,5.85
